city,zip_code,longitude,latitude,city_id
Kapowsin,98344,-122.23469,46.98436,575525617668
Kelso,98626,-122.89867,46.14424,1082331758592
Kenmore,98028,-122.24369,47.75892,386547056640
Kennewick,99337,-119.14482,46.18764,1563368095744
Kennewick,99338,-119.3118,46.20664,1065151889408
Kennewick,99336,-119.11698,46.20837,1116691496963
Kent,98001,-122.23035,47.3074,1116691496962
Kent,98038,-122.04526,47.39394,386547056644
Kent,98035,-122.23427,47.3805,1709396983813
Kent,98042,-122.09124,47.33778,446676598784
Kent,98032,-122.23741,47.3807,644245094400
Kent,98092,-122.1821,47.3199,1589137899523
Kent,98058,-122.08747,47.4466,575525617666
Kent,98031,-122.17743,47.41185,420906795009
Kent,98030,-122.19975,47.37483,730144440320
Kettle Falls,99141,-118.06211,48.61053,369367187459
Keyport,98345,-122.62316,47.70251,876173328386
Kingston,98370,-122.64681,47.73689,163208757251
Kingston,98346,-122.4977,47.79802,231928233984
Kirkland,98072,-122.15545,47.75448,498216206337
Kirkland,98004,-122.1872,47.61001,34359738370
Kirkland,98034,-122.22901,47.72201,1279900254208
Kirkland,98033,-122.2066,47.67887,773094113280
Kirkland,98011,-122.20563,47.76144,481036337156
Kirkland,98052,-122.13158,47.67858,1486058684418
Kittitas,98934,-120.41752,46.98472,1571958030338
Klickitat,98628,-121.15176,45.81756,1511828488196
Klickitat,98635,-121.28544,45.6939,1580547964933
La Center,98629,-122.67248,45.86156,1614907703296
La Conner,98257,-122.49724,48.38874,1400159338498
La Push,98331,-124.38543,47.95014,1511828488194
Lacey,98503,-122.82324,47.04437,1202590842880
Lacey,98516,-122.75103,47.08149,1
Lacey,98506,-122.87741,47.05997,1005022347266
Lacey,98513,-122.81754,46.98876,970662608899
Lacrosse,99143,-117.88137,46.81612,704374636547
Lake Forest Park,98155,-122.3175,47.75781,858993459200
Lake Stevens,98258,-122.06402,48.01497,137438953472
Lake Tapps,98391,-122.17144,47.19175,987842478081
Lakebay,98349,-122.75493,47.25035,661424963585
Lakeview,98851,-119.48323,47.38898,1529008357377
Lakewood,98496,-122.50992,47.16826,1013612281857
Lakewood,98439,-122.52968,47.12717,386547056642
Lakewood,98499,-122.51495,47.16196,1073741824000
Lakewood,98498,-122.54764,47.17669,369367187457
Lamont,99017,-117.90629,47.20139,1159641169922
Langley,98260,-122.40618,48.0399,489626271746
Langley,98249,-122.52664,48.00956,850403524609
Latah,99018,-117.15511,47.27966,798863917057
Leavenworth,98826,-120.65754,47.5982,1623497637889
Leavenworth,98847,-120.60364,47.56805,249108103170
Lebam,98577,-123.72994,46.68867,695784701957
Liberty Lake,99016,-117.1748,47.65699,687194767365
Liberty Lake,99019,-117.1015,47.66829,936302870529
Lilliwaup,98555,-123.0921,47.47203,438086664199
Lincoln,99147,-118.41899,47.82937,687194767363
Lind,99341,-118.61566,46.97135,1709396983812
Long Beach,98631,-124.05439,46.35232,188978561027
Long Beach,98634,,,1623497637895
Longbranch,98351,-122.75905,47.21454,695784701954
Longview,98632,-122.95058,46.14681,1331439861760
Loon Lake,99148,-117.63731,48.06288,163208757250
Lopez Is,98261,-122.91395,48.52342,1185410973701
Lopez Island,98261,-122.91395,48.52342,1297080123393
Lummi Island,98262,-122.68326,48.72052,77309411329
Lyle,98635,-121.28544,45.6939,360777252865
Lyman,98263,-122.05976,48.52525,627065225220
Lynden,98264,-122.45079,48.9429,1116691496960
Lynnwood,98037,-122.27734,47.83785,120259084288
Lynnwood,98087,-122.27981,47.85727,781684047873
Lynnwood,98036,-122.29245,47.82557,1391569403904
Mabton,98935,-119.99854,46.21092,352187318274
Mabton,98930,-119.90123,46.25606,523986010113
Malaga,98828,-120.20227,47.37238,429496729604
Malden,99149,-117.47511,47.22875,515396075523
Malott,98829,-119.70617,48.28279,566935683075
Malott,98840,-119.57959,48.3654,1314259992577
Mansfield,98830,-119.63759,47.8118,343597383681
Mansfield,98812,-119.78093,48.09967,60129542147
Manson,98831,-120.16034,47.8854,627065225216
Maple Falls,98266,-122.07728,48.92369,1700807049220
Maple Valley,98058,-122.08747,47.4466,1185410973700
Maple Valley,98051,-121.98233,47.35298,1580547964929
Maple Valley,98010,-122.00143,47.30893,1417339207681
Maple Valley,98059,-122.15716,47.48852,506806140931
Maple Valley,98027,-122.03439,47.5301,206158430211
Maple Valley,98038,-122.04526,47.39394,1348619730945
Maple Valley,98045,-121.7831,47.49348,128849018882
Marblemount,98267,-121.41604,48.52739,1597727834115
Marlin,98832,-118.98504,47.40718,1159641169923
Martha Lake,98087,-122.27981,47.85727,601295421443
Maryhill,98620,-120.82545,45.823,1065151889411
Marysville,98292,-122.37265,48.24159,1614907703300
Marysville,98270,-122.1769,48.06114,455266533377
Marysville,98271,-122.1677,48.11026,369367187456
Mattawa,99349,-119.90008,46.73779,1580547964931
Mazama,98833,-120.40814,48.5941,395136991233
McChord AFB,98439,-122.52968,47.12717,1133871366147
Mccleary,98557,-123.26405,47.04946,420906795011
McCleary,98557,-123.26405,47.04946,833223655427
Mead,99021,-117.35586,47.7628,283467841536
Mead,99005,-117.35414,47.83743,1503238553603
Medical Lake,99022,-117.68269,47.57261,257698037761
Medical Lake,99224,-117.46996,47.59431,1443109011461
Medical Lake,99004,-117.57445,47.48928,987842478084
Medina,98039,-122.23892,47.61613,343597383680
Menlo,98577,-123.72994,46.68867,601295421440
Mercer Island,98040,-122.21238,47.57816,687194767360
Mesa,99343,-119.00503,46.57833,1056561954817
Metaline,99152,-117.38884,48.85602,1606317768706
Methow,98846,-119.89975,48.05502,438086664198
Methow,98834,-120.0051,48.12868,240518168580
Mica,99023,-117.21611,47.56436,481036337155
Mill Creek,98012,-122.21061,47.83448,274877906945
Milton,98354,-122.32172,47.24898,1236950581249
Mineral,98355,-122.18768,46.71902,1056561954820
Moclips,98562,-124.21349,47.23932,1176821039107
Monitor,98836,-120.42429,47.49049,712964571138
Monroe,98272,-121.98087,47.8526,292057776130
Montesano,98563,-123.60076,46.98384,730144440321
Morton,98356,-122.27514,46.5554,1245540515841
Moses Lake,98837,-119.2771,47.13196,506806140929
Mossyrock,98564,-122.48446,46.52948,412316860416
Mount Vernon,98274,-122.32355,48.41566,876173328385
Mount Vernon,98273,-122.33891,48.41644,1580547964928
Mountlake Terrace,98043,-122.31111,47.78803,1168231104513
Moxee,98936,-120.39197,46.55621,1202590842881
Moxee,98901,-120.50729,46.60464,944892805123
Mukilteo,98275,-122.29196,47.89908,1451698946050
Murdock,98617,-121.14532,45.61623,1391569403907
Murdock,98635,-121.28544,45.6939,1400159338501
Naches,98908,-120.60199,46.59817,481036337157
Naches,98942,-120.53145,46.65405,687194767366
Naches,98937,-120.69972,46.7309,919123001345
Nahcotta,98640,-124.04987,46.49147,506806140934
Napavine,98532,-122.96462,46.6621,1692217114628
Napavine,98565,-122.90812,46.57623,1236950581251
Naselle,98638,-123.81154,46.36545,584115552258
Neah Bay,98357,-124.62735,48.36778,1022202216452
Nespelem,99155,-118.97665,48.16636,1254130450435
Newcastle,98006,-122.12096,47.55584,438086664200
Newcastle,98059,-122.15716,47.48852,300647710721
Newcastle,98056,-122.1805,47.50006,1082331758593
Newman Lake,99025,-117.06882,47.7251,34359738369
Newman Lake,99027,-117.11195,47.70763,1683627180034
Newport,99156,-117.04398,48.18285,455266533378
Nine Mile Falls,99224,-117.46996,47.59431,627065225219
Nine Mile Falls,99026,-117.54392,47.77676,3
Nooksack,98276,-122.32181,48.92857,790273982468
Nordland,98358,-122.69107,48.05105,1176821039104
Normandy Park,98166,-122.34134,47.46593,128849018881
Normandy Park,98148,-122.32863,47.46233,412316860417
Normandy Park,98198,-122.3219,47.40173,1168231104514
North Bend,98065,-121.82432,47.52716,300647710723
North Bend,98045,-121.7831,47.49348,532575944704
North Bonneville,98639,-121.97,45.64119,1700807049222
North Cove,98590,-123.99814,46.71227,42949672961
North Cove,98547,-124.09366,46.80933,446676598785
Northport,99157,-117.77812,48.91739,712964571140
Northwestern Lake,98672,-121.48704,45.72776,489626271747
Oak Harbor,98277,-122.64682,48.29077,1700807049216
Oak Harbor,98278,-122.67154,48.33858,317827579908
Oakesdale,99158,-117.24261,47.12905,506806140936
Oakville,98568,-123.23286,46.84077,1623497637892
Ocean Park,98631,-124.05439,46.35232,532575944706
Ocean Park,98640,-124.04987,46.49147,283467841538
Ocean Shores,98569,-124.16408,47.01156,893353197571
Odessa,99159,-118.68999,47.33323,1108101562368
Okanogan,98840,-119.57959,48.3654,1262720385027
Olalla,98359,-122.54729,47.42602,429496729601
Olga,98279,-122.8357,48.62356,824633720833
Olympia,98513,-122.81754,46.98876,455266533376
Olympia,98502,-122.92333,47.03779,154618822656
Olympia,98503,-122.82324,47.04437,1425929142273
Olympia,98512,-122.9131,47.01359,1365799600128
Olympia,98504,-122.89166,47.03956,1434519076864
Olympia,98501,-122.89165,47.03954,858993459202
Olympia,98506,-122.87741,47.05997,1288490188800
Olympia,98507,-122.89588,47.04117,1451698946054
Olympia,98516,-122.75103,47.08149,77309411328
Omak,98841,-119.52724,48.41078,481036337154
Onalaska,98532,-122.96462,46.6621,1623497637893
Onalaska,98570,-122.69891,46.57613,1005022347264
Orcas,98280,-122.94093,48.5982,386547056643
Orcas Is,98245,-122.91109,48.69389,206158430213
Orcas Is,98279,-122.8357,48.62356,1082331758595
Orcas Is,98243,-123.00026,48.61989,584115552260
Orient,99160,-118.20874,48.8683,1348619730949
Orondo,98843,-120.22795,47.62353,51539607554
Oroville,98844,-119.43558,48.93881,1219770712067
Orting,98360,-122.20166,47.09596,188978561026
Othello,99344,-119.1742,46.82616,1709396983811
Otis Orchards,99027,-117.11195,47.70763,953482739713
Otis Orchards,99025,-117.06882,47.7251,1168231104521
Outlook,98938,-120.08512,46.3294,420906795010
Oysterville,98641,-124.02697,46.54905,1279900254213
Oysterville,98640,-124.04987,46.49147,592705486849
Pacific,98001,-122.23035,47.3074,438086664195
Pacific,98047,-122.24692,47.26465,927712935938
Pacific Beach,98571,-124.20177,47.20886,541165879297
Packwood,98377,-121.95585,46.53534,601295421442
Packwood,98361,-121.66932,46.61018,146028888065
Palisades,98845,-119.9176,47.41492,1400159338500
Palouse,99161,-117.0768,46.91008,1374389534722
Parker,98939,-120.4672,46.50345,1194000908291
